year,level_1,level_2,value
1980,Male General Divorce Rate,20 - 24 Years,5.9
1980,Male General Divorce Rate,25 - 29 Years,6.9
1980,Male General Divorce Rate,30 - 34 Years,6.5
1980,Male General Divorce Rate,35 - 39 Years,4.4
1980,Male General Divorce Rate,40 - 44 Years,3.8
1980,Male General Divorce Rate,45 - 49 Years,2.1
1980,Male General Divorce Rate,50 Years And Over,0.8
1981,Male General Divorce Rate,20 - 24 Years,6.6
1981,Male General Divorce Rate,25 - 29 Years,9.1
1981,Male General Divorce Rate,30 - 34 Years,7.4
1981,Male General Divorce Rate,35 - 39 Years,5.9
1981,Male General Divorce Rate,40 - 44 Years,4.1
1981,Male General Divorce Rate,45 - 49 Years,2.9
1981,Male General Divorce Rate,50 Years And Over,0.9
1982,Male General Divorce Rate,20 - 24 Years,8
1982,Male General Divorce Rate,25 - 29 Years,8.7
1982,Male General Divorce Rate,30 - 34 Years,7.6
1982,Male General Divorce Rate,35 - 39 Years,5.7
1982,Male General Divorce Rate,40 - 44 Years,3.8
1982,Male General Divorce Rate,45 - 49 Years,3.1
1982,Male General Divorce Rate,50 Years And Over,0.9
1983,Male General Divorce Rate,20 - 24 Years,8.6
1983,Male General Divorce Rate,25 - 29 Years,9.1
1983,Male General Divorce Rate,30 - 34 Years,7.3
1983,Male General Divorce Rate,35 - 39 Years,5.5
1983,Male General Divorce Rate,40 - 44 Years,3.9
1983,Male General Divorce Rate,45 - 49 Years,3
1983,Male General Divorce Rate,50 Years And Over,0.8
1984,Male General Divorce Rate,20 - 24 Years,12.1
1984,Male General Divorce Rate,25 - 29 Years,9.5
1984,Male General Divorce Rate,30 - 34 Years,7.6
1984,Male General Divorce Rate,35 - 39 Years,5.8
1984,Male General Divorce Rate,40 - 44 Years,4.2
1984,Male General Divorce Rate,45 - 49 Years,2.8
1984,Male General Divorce Rate,50 Years And Over,1.1
1985,Male General Divorce Rate,20 - 24 Years,13.4
1985,Male General Divorce Rate,25 - 29 Years,9.5
1985,Male General Divorce Rate,30 - 34 Years,7.8
1985,Male General Divorce Rate,35 - 39 Years,5.6
1985,Male General Divorce Rate,40 - 44 Years,3.9
1985,Male General Divorce Rate,45 - 49 Years,2.7
1985,Male General Divorce Rate,50 Years And Over,1.1
1986,Male General Divorce Rate,20 - 24 Years,12.5
1986,Male General Divorce Rate,25 - 29 Years,10.2
1986,Male General Divorce Rate,30 - 34 Years,8
1986,Male General Divorce Rate,35 - 39 Years,6.4
1986,Male General Divorce Rate,40 - 44 Years,4.7
1986,Male General Divorce Rate,45 - 49 Years,3.1
1986,Male General Divorce Rate,50 Years And Over,1.3
1987,Male General Divorce Rate,20 - 24 Years,17.9
1987,Male General Divorce Rate,25 - 29 Years,11.8
1987,Male General Divorce Rate,30 - 34 Years,7.4
1987,Male General Divorce Rate,35 - 39 Years,6.1
1987,Male General Divorce Rate,40 - 44 Years,5.1
1987,Male General Divorce Rate,45 - 49 Years,3
1987,Male General Divorce Rate,50 Years And Over,1.1
1988,Male General Divorce Rate,20 - 24 Years,16.1
1988,Male General Divorce Rate,25 - 29 Years,12.8
1988,Male General Divorce Rate,30 - 34 Years,8.1
1988,Male General Divorce Rate,35 - 39 Years,6.6
1988,Male General Divorce Rate,40 - 44 Years,4.9
1988,Male General Divorce Rate,45 - 49 Years,3.5
1988,Male General Divorce Rate,50 Years And Over,1.1
1989,Male General Divorce Rate,20 - 24 Years,12.1
1989,Male General Divorce Rate,25 - 29 Years,13.4
1989,Male General Divorce Rate,30 - 34 Years,8.1
1989,Male General Divorce Rate,35 - 39 Years,6.4
1989,Male General Divorce Rate,40 - 44 Years,4.9
1989,Male General Divorce Rate,45 - 49 Years,3.2
1989,Male General Divorce Rate,50 Years And Over,1.1
1990,Male General Divorce Rate,20 - 24 Years,13.4
1990,Male General Divorce Rate,25 - 29 Years,13.3
1990,Male General Divorce Rate,30 - 34 Years,10.6
1990,Male General Divorce Rate,35 - 39 Years,7.5
1990,Male General Divorce Rate,40 - 44 Years,5.7
1990,Male General Divorce Rate,45 - 49 Years,4.1
1990,Male General Divorce Rate,50 Years And Over,1.6
1991,Male General Divorce Rate,20 - 24 Years,23.4
1991,Male General Divorce Rate,25 - 29 Years,15.9
1991,Male General Divorce Rate,30 - 34 Years,11.4
1991,Male General Divorce Rate,35 - 39 Years,9
1991,Male General Divorce Rate,40 - 44 Years,6.8
1991,Male General Divorce Rate,45 - 49 Years,4.6
1991,Male General Divorce Rate,50 Years And Over,1.9
1992,Male General Divorce Rate,20 - 24 Years,16.9
1992,Male General Divorce Rate,25 - 29 Years,13.2
1992,Male General Divorce Rate,30 - 34 Years,9.7
1992,Male General Divorce Rate,35 - 39 Years,7.8
1992,Male General Divorce Rate,40 - 44 Years,6.4
1992,Male General Divorce Rate,45 - 49 Years,4.5
1992,Male General Divorce Rate,50 Years And Over,2
1993,Male General Divorce Rate,20 - 24 Years,12.4
1993,Male General Divorce Rate,25 - 29 Years,13.7
1993,Male General Divorce Rate,30 - 34 Years,9.9
1993,Male General Divorce Rate,35 - 39 Years,7.8
1993,Male General Divorce Rate,40 - 44 Years,6.2
1993,Male General Divorce Rate,45 - 49 Years,4.5
1993,Male General Divorce Rate,50 Years And Over,1.9
1994,Male General Divorce Rate,20 - 24 Years,16.2
1994,Male General Divorce Rate,25 - 29 Years,11.4
1994,Male General Divorce Rate,30 - 34 Years,9
1994,Male General Divorce Rate,35 - 39 Years,7
1994,Male General Divorce Rate,40 - 44 Years,5.6
1994,Male General Divorce Rate,45 - 49 Years,4.5
1994,Male General Divorce Rate,50 Years And Over,1.7
1995,Male General Divorce Rate,20 - 24 Years,14.9
1995,Male General Divorce Rate,25 - 29 Years,12
1995,Male General Divorce Rate,30 - 34 Years,9.7
1995,Male General Divorce Rate,35 - 39 Years,8.4
1995,Male General Divorce Rate,40 - 44 Years,6.6
1995,Male General Divorce Rate,45 - 49 Years,5.5
1995,Male General Divorce Rate,50 Years And Over,2
1996,Male General Divorce Rate,20 - 24 Years,15.5
1996,Male General Divorce Rate,25 - 29 Years,12.2
1996,Male General Divorce Rate,30 - 34 Years,9.6
1996,Male General Divorce Rate,35 - 39 Years,8.6
1996,Male General Divorce Rate,40 - 44 Years,7.1
1996,Male General Divorce Rate,45 - 49 Years,5.7
1996,Male General Divorce Rate,50 Years And Over,2.3
1997,Male General Divorce Rate,20 - 24 Years,20.5
1997,Male General Divorce Rate,25 - 29 Years,13.7
1997,Male General Divorce Rate,30 - 34 Years,10.8
1997,Male General Divorce Rate,35 - 39 Years,8.6
1997,Male General Divorce Rate,40 - 44 Years,6.7
1997,Male General Divorce Rate,45 - 49 Years,5.5
1997,Male General Divorce Rate,50 Years And Over,2.5
1998,Male General Divorce Rate,20 - 24 Years,27.2
1998,Male General Divorce Rate,25 - 29 Years,18.2
1998,Male General Divorce Rate,30 - 34 Years,11.5
1998,Male General Divorce Rate,35 - 39 Years,9.8
1998,Male General Divorce Rate,40 - 44 Years,7.6
1998,Male General Divorce Rate,45 - 49 Years,6.1
1998,Male General Divorce Rate,50 Years And Over,3.1
1999,Male General Divorce Rate,20 - 24 Years,32
1999,Male General Divorce Rate,25 - 29 Years,15.1
1999,Male General Divorce Rate,30 - 34 Years,11
1999,Male General Divorce Rate,35 - 39 Years,9.1
1999,Male General Divorce Rate,40 - 44 Years,7.4
1999,Male General Divorce Rate,45 - 49 Years,5.9
1999,Male General Divorce Rate,50 Years And Over,2.7
2000,Male General Divorce Rate,20 - 24 Years,26.2
2000,Male General Divorce Rate,25 - 29 Years,14.1
2000,Male General Divorce Rate,30 - 34 Years,10.6
2000,Male General Divorce Rate,35 - 39 Years,8.9
2000,Male General Divorce Rate,40 - 44 Years,6.8
2000,Male General Divorce Rate,45 - 49 Years,5.7
2000,Male General Divorce Rate,50 Years And Over,2.6
2001,Male General Divorce Rate,20 - 24 Years,30.2
2001,Male General Divorce Rate,25 - 29 Years,14.8
2001,Male General Divorce Rate,30 - 34 Years,11.1
2001,Male General Divorce Rate,35 - 39 Years,7.8
2001,Male General Divorce Rate,40 - 44 Years,6.8
2001,Male General Divorce Rate,45 - 49 Years,5.6
2001,Male General Divorce Rate,50 Years And Over,2.4
2002,Male General Divorce Rate,20 - 24 Years,42.7
2002,Male General Divorce Rate,25 - 29 Years,17.3
2002,Male General Divorce Rate,30 - 34 Years,13.4
2002,Male General Divorce Rate,35 - 39 Years,10.6
2002,Male General Divorce Rate,40 - 44 Years,7.1
2002,Male General Divorce Rate,45 - 49 Years,5.7
2002,Male General Divorce Rate,50 Years And Over,2.7
2003,Male General Divorce Rate,20 - 24 Years,30
2003,Male General Divorce Rate,25 - 29 Years,19.4
2003,Male General Divorce Rate,30 - 34 Years,14
2003,Male General Divorce Rate,35 - 39 Years,11.5
2003,Male General Divorce Rate,40 - 44 Years,8.3
2003,Male General Divorce Rate,45 - 49 Years,6.5
2003,Male General Divorce Rate,50 Years And Over,3.2
2004,Male General Divorce Rate,20 - 24 Years,37.2
2004,Male General Divorce Rate,25 - 29 Years,21
2004,Male General Divorce Rate,30 - 34 Years,14.8
2004,Male General Divorce Rate,35 - 39 Years,9.4
2004,Male General Divorce Rate,40 - 44 Years,7.5
2004,Male General Divorce Rate,45 - 49 Years,5.6
2004,Male General Divorce Rate,50 Years And Over,2.9
2005,Male General Divorce Rate,20 - 24 Years,32.1
2005,Male General Divorce Rate,25 - 29 Years,19.1
2005,Male General Divorce Rate,30 - 34 Years,15.9
2005,Male General Divorce Rate,35 - 39 Years,11.7
2005,Male General Divorce Rate,40 - 44 Years,7.7
2005,Male General Divorce Rate,45 - 49 Years,6.4
2005,Male General Divorce Rate,50 Years And Over,3
2006,Male General Divorce Rate,20 - 24 Years,32.7
2006,Male General Divorce Rate,25 - 29 Years,21
2006,Male General Divorce Rate,30 - 34 Years,16.2
2006,Male General Divorce Rate,35 - 39 Years,11.8
2006,Male General Divorce Rate,40 - 44 Years,8.2
2006,Male General Divorce Rate,45 - 49 Years,6.7
2006,Male General Divorce Rate,50 Years And Over,3.1
2007,Male General Divorce Rate,20 - 24 Years,35.7
2007,Male General Divorce Rate,25 - 29 Years,20.2
2007,Male General Divorce Rate,30 - 34 Years,16
2007,Male General Divorce Rate,35 - 39 Years,11.9
2007,Male General Divorce Rate,40 - 44 Years,8.5
2007,Male General Divorce Rate,45 - 49 Years,6.8
2007,Male General Divorce Rate,50 Years And Over,3.2
2008,Male General Divorce Rate,20 - 24 Years,32.9
2008,Male General Divorce Rate,25 - 29 Years,19.1
2008,Male General Divorce Rate,30 - 34 Years,16
2008,Male General Divorce Rate,35 - 39 Years,12.3
2008,Male General Divorce Rate,40 - 44 Years,8.7
2008,Male General Divorce Rate,45 - 49 Years,6.6
2008,Male General Divorce Rate,50 Years And Over,3.1
2009,Male General Divorce Rate,20 - 24 Years,27.3
2009,Male General Divorce Rate,25 - 29 Years,17.4
2009,Male General Divorce Rate,30 - 34 Years,15.1
2009,Male General Divorce Rate,35 - 39 Years,12.5
2009,Male General Divorce Rate,40 - 44 Years,9.2
2009,Male General Divorce Rate,45 - 49 Years,7.2
2009,Male General Divorce Rate,50 Years And Over,3.3
2010,Male General Divorce Rate,20 - 24 Years,24.9
2010,Male General Divorce Rate,25 - 29 Years,16.3
2010,Male General Divorce Rate,30 - 34 Years,14.6
2010,Male General Divorce Rate,35 - 39 Years,12.5
2010,Male General Divorce Rate,40 - 44 Years,9.6
2010,Male General Divorce Rate,45 - 49 Years,7.5
2010,Male General Divorce Rate,50 Years And Over,3.3
2011,Male General Divorce Rate,20 - 24 Years,26.6
2011,Male General Divorce Rate,25 - 29 Years,20.3
2011,Male General Divorce Rate,30 - 34 Years,14
2011,Male General Divorce Rate,35 - 39 Years,12.7
2011,Male General Divorce Rate,40 - 44 Years,10
2011,Male General Divorce Rate,45 - 49 Years,7.7
2011,Male General Divorce Rate,50 Years And Over,3.5
2012,Male General Divorce Rate,20 - 24 Years,28.4
2012,Male General Divorce Rate,25 - 29 Years,21.7
2012,Male General Divorce Rate,30 - 34 Years,13.3
2012,Male General Divorce Rate,35 - 39 Years,11.9
2012,Male General Divorce Rate,40 - 44 Years,9.4
2012,Male General Divorce Rate,45 - 49 Years,7.6
2012,Male General Divorce Rate,50 Years And Over,3.3
2013,Male General Divorce Rate,20 - 24 Years,25.8
2013,Male General Divorce Rate,25 - 29 Years,21.7
2013,Male General Divorce Rate,30 - 34 Years,13.1
2013,Male General Divorce Rate,35 - 39 Years,12
2013,Male General Divorce Rate,40 - 44 Years,9.8
2013,Male General Divorce Rate,45 - 49 Years,8.5
2013,Male General Divorce Rate,50 Years And Over,3.6
2014,Male General Divorce Rate,20 - 24 Years,25.3
2014,Male General Divorce Rate,25 - 29 Years,20.2
2014,Male General Divorce Rate,30 - 34 Years,13.1
2014,Male General Divorce Rate,35 - 39 Years,11.6
2014,Male General Divorce Rate,40 - 44 Years,9.9
2014,Male General Divorce Rate,45 - 49 Years,7.7
2014,Male General Divorce Rate,50 Years And Over,3.5
2015,Male General Divorce Rate,20 - 24 Years,30.8
2015,Male General Divorce Rate,25 - 29 Years,17.8
2015,Male General Divorce Rate,30 - 34 Years,12.5
2015,Male General Divorce Rate,35 - 39 Years,11.7
2015,Male General Divorce Rate,40 - 44 Years,10.1
2015,Male General Divorce Rate,45 - 49 Years,8.3
2015,Male General Divorce Rate,50 Years And Over,3.7
2016,Male General Divorce Rate,20 - 24 Years,27.6
2016,Male General Divorce Rate,25 - 29 Years,16.7
2016,Male General Divorce Rate,30 - 34 Years,12.6
2016,Male General Divorce Rate,35 - 39 Years,12.8
2016,Male General Divorce Rate,40 - 44 Years,9.6
2016,Male General Divorce Rate,45 - 49 Years,8.4
2016,Male General Divorce Rate,50 Years And Over,3.6
2017,Male General Divorce Rate,20 - 24 Years,25.9
2017,Male General Divorce Rate,25 - 29 Years,16.8
2017,Male General Divorce Rate,30 - 34 Years,12.5
2017,Male General Divorce Rate,35 - 39 Years,11.5
2017,Male General Divorce Rate,40 - 44 Years,10.2
2017,Male General Divorce Rate,45 - 49 Years,7.7
2017,Male General Divorce Rate,50 Years And Over,3.7
