year,level_1,value
1980,Male General Divorce Rate,3.7
1980,Female General Divorce Rate,3.8
1981,Male General Divorce Rate,4.3
1981,Female General Divorce Rate,4.3
1982,Male General Divorce Rate,4.3
1982,Female General Divorce Rate,4.3
1983,Male General Divorce Rate,4.3
1983,Female General Divorce Rate,4.3
1984,Male General Divorce Rate,4.6
1984,Female General Divorce Rate,4.6
1985,Male General Divorce Rate,4.6
1985,Female General Divorce Rate,4.6
1986,Male General Divorce Rate,4.9
1986,Female General Divorce Rate,5
1987,Male General Divorce Rate,4.9
1987,Female General Divorce Rate,5
1988,Male General Divorce Rate,5.2
1988,Female General Divorce Rate,5.2
1989,Male General Divorce Rate,5
1989,Female General Divorce Rate,5.1
1990,Male General Divorce Rate,6.1
1990,Female General Divorce Rate,6.1
1991,Male General Divorce Rate,7
1991,Female General Divorce Rate,7.1
1992,Male General Divorce Rate,6.2
1992,Female General Divorce Rate,6.2
1993,Male General Divorce Rate,6
1993,Female General Divorce Rate,6.1
1994,Male General Divorce Rate,5.5
1994,Female General Divorce Rate,5.5
1995,Male General Divorce Rate,6.1
1995,Female General Divorce Rate,6.1
1996,Male General Divorce Rate,6.4
1996,Female General Divorce Rate,6.5
1997,Male General Divorce Rate,6.6
1997,Female General Divorce Rate,6.6
1998,Male General Divorce Rate,7.4
1998,Female General Divorce Rate,7.5
1999,Male General Divorce Rate,6.8
1999,Female General Divorce Rate,6.9
2000,Male General Divorce Rate,6.5
2000,Female General Divorce Rate,6.5
2001,Male General Divorce Rate,6.2
2001,Female General Divorce Rate,6.4
2002,Male General Divorce Rate,7.1
2002,Female General Divorce Rate,7.1
2003,Male General Divorce Rate,7.8
2003,Female General Divorce Rate,7.8
2004,Male General Divorce Rate,7.1
2004,Female General Divorce Rate,6.9
2005,Male General Divorce Rate,7.6
2005,Female General Divorce Rate,7.3
2006,Male General Divorce Rate,7.7
2006,Female General Divorce Rate,7.4
2007,Male General Divorce Rate,7.7
2007,Female General Divorce Rate,7.4
2008,Male General Divorce Rate,7.5
2008,Female General Divorce Rate,7.3
2009,Male General Divorce Rate,7.5
2009,Female General Divorce Rate,7.1
2010,Male General Divorce Rate,7.5
2010,Female General Divorce Rate,7.2
2011,Male General Divorce Rate,7.6
2011,Female General Divorce Rate,7.2
2012,Male General Divorce Rate,7.1
2012,Female General Divorce Rate,6.7
2013,Male General Divorce Rate,7.3
2013,Female General Divorce Rate,6.9
2014,Male General Divorce Rate,7
2014,Female General Divorce Rate,6.5
2015,Male General Divorce Rate,7.1
2015,Female General Divorce Rate,6.6
2016,Male General Divorce Rate,7.1
2016,Female General Divorce Rate,6.6
2017,Male General Divorce Rate,6.9
2017,Female General Divorce Rate,6.5
